+----------------+---------------------+------+----------------------------------------------------------------+-----------------------+-----------------------+
| unix_timestamp | timestamp           | name | filename                                                       | image_shift_x         | image_shift_y         |
|     1571469506 | 2019-10-19 00:18:26 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00013en |  3.23562235753241e-06 | -4.48606564985938e-07 |
|     1571469585 | 2019-10-19 00:19:45 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00014en |  3.90012295158066e-06 |  -1.3524902215279e-06 |
|     1571469664 | 2019-10-19 00:21:04 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00015en |   3.0004733880254e-06 | -1.93979997717193e-06 |
|     1571469743 | 2019-10-19 00:22:23 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v04_00004hl_2_v01_00016en |  2.53056778282915e-06 | -1.20089444598256e-06 |
|     1571469848 | 2019-10-19 00:24:08 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00002en |  3.37885083203156e-06 | -7.96261976418432e-07 |
|     1571469928 | 2019-10-19 00:25:28 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00003en |  4.07371664696275e-06 | -2.95024288363083e-07 |
|     1571470007 | 2019-10-19 00:26:47 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00004en |  3.57490829233468e-06 |  3.99593477911392e-07 |
|     1571470087 | 2019-10-19 00:28:07 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00005en |  2.91240849957044e-06 | -1.90996636173131e-07 |
|     1571470168 | 2019-10-19 00:29:28 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00006en |  1.99010818925431e-06 |  3.31679863045067e-06 |
|     1571470248 | 2019-10-19 00:30:48 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00007en |  1.28691820286871e-06 |   2.6214027975895e-06 |
|     1571470328 | 2019-10-19 00:32:08 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00008en |  6.48324047850656e-07 |  3.29866793143193e-06 |
|     1571470408 | 2019-10-19 00:33:28 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00009en |  1.22251690790193e-06 |  3.94692698985131e-06 |
|     1571470518 | 2019-10-19 00:35:18 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00010en | -2.12787699757225e-06 |  1.81204775403994e-06 |
|     1571470568 | 2019-10-19 00:36:08 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00011en | -2.91044983093282e-06 |  1.08764467536845e-06 |
